Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2023-11-07,499.9,505.5,499.0,505.5,1.51,28094.0,14091561.7,1,2023-11-07,512.9324027089984,546.2559888394394,-33.32358613044096,0
2023-11-07,499.9,505.5,499.0,505.5,1.51,28094.0,14091561.7,1,2023-11-07,511.2807576625543,541.9658847510773,-30.68512708852296,0
2023-11-08,505.0,509.8,502.0,502.5,-0.59,15773.0,7951356.1,-1,2023-11-08,509.3294781819867,537.8115810930692,-28.482102911082507,0
2023-11-09,512.5,512.5,498.0,499.3,-0.64,23830.0,11917008.5,-1,2023-11-09,507.1007052526563,533.7577304516935,-26.657025199037207,0
2023-11-20,508.0,508.0,499.0,500.0,0.14,23771.0,11908204.4,-1,2023-11-20,505.52277075206604,530.204285140989,-24.68151438892295,0
2023-11-21,501.0,501.0,495.0,495.0,-1.0,13252.0,6577144.5,-1,2023-11-21,503.1843772516069,526.4985709156217,-23.314193664014795,0
2023-11-22,496.0,499.9,490.1,498.0,0.61,11581.0,5733566.1,1,2023-11-22,502.03229341791643,523.4987213455563,-21.46642792763987,0
2023-11-23,498.0,505.0,498.0,504.0,1.2,25084.0,12547218.2,1,2023-11-23,502.46956154726837,521.4462243618135,-18.976662814545136,0
2023-11-26,506.0,518.0,502.0,518.0,2.78,31405.0,16095060.1,1,2023-11-26,505.9207700923198,521.0834639026752,-15.16269381035545,0
2023-11-27,520.0,527.8,510.0,513.0,-0.97,19627.0,10126142.2,-1,2023-11-27,507.49393229402654,520.2325729655515,-12.73864067152499,0
2023-11-28,508.1,514.0,508.1,511.0,-0.39,8467.0,4319655.4,1,2023-11-28,508.2730584509095,519.260723179704,-10.98766472879447,0
2023-11-29,514.0,514.0,508.0,508.0,-0.59,8435.0,4293812.8,-1,2023-11-29,508.21237879515184,518.0753838976299,-9.863005102478041,0
2023-11-30,516.0,516.2,499.0,500.0,-1.57,42251.0,21304627.1,-1,2023-11-30,506.38740572956254,516.1727119084056,-9.785306178843086,0
2023-12-03,500.0,505.0,491.5,498.0,-0.4,16859.0,8404941.4,-1,2023-12-03,504.5235377896597,514.2597948654155,-9.736257075755816,0
2023-12-04,495.1,502.0,495.1,497.0,-0.2,15691.0,7826379.8,1,2023-12-04,502.85164050306867,512.4429743532665,-9.591333850197884,0
2023-12-05,497.0,500.1,495.0,498.9,0.38,19564.0,9725129.4,1,2023-12-05,501.9734981690534,511.01739810555426,-9.04389993650085,0
