prev_2_a,prev_2_b,next,date_prev_2_a,date_prev_2_b,date_next,date_completion,date_prev_2_a_label,date_prev_2_b_label,date_next_label,date_completion_label,next_role,completion_role
IN_DOWN,IN_DOWN,IN_UP,2022-07-11,2022-07-25,2022-09-20,2023-01-19,11 Jul 2022,25 Jul 2022,20 Sep 2022,19 Jan 2023,0,3
IN_DOWN,IN_UP,IN_UP,2022-07-25,2022-09-20,2022-12-04,2023-01-19,25 Jul 2022,20 Sep 2022,04 Dec 2022,19 Jan 2023,1,3
IN_UP,IN_UP,IN_UP,2022-09-20,2022-12-04,2022-12-18,2023-01-19,20 Sep 2022,04 Dec 2022,18 Dec 2022,19 Jan 2023,2,3
IN_UP,IN_UP,IN_UP,2022-12-04,2022-12-18,2023-01-19,2023-01-19,04 Dec 2022,18 Dec 2022,19 Jan 2023,19 Jan 2023,3,3
IN_UP,IN_UP,OUT_UP,2022-12-18,2023-01-19,2023-03-23,2023-07-23,18 Dec 2022,19 Jan 2023,23 Mar 2023,23 Jul 2023,0,3
IN_UP,OUT_UP,IN_UP,2023-01-19,2023-03-23,2023-04-19,2023-07-23,19 Jan 2023,23 Mar 2023,19 Apr 2023,23 Jul 2023,1,3
OUT_UP,IN_UP,IN_UP,2023-03-23,2023-04-19,2023-05-16,2023-07-23,23 Mar 2023,19 Apr 2023,16 May 2023,23 Jul 2023,2,3
IN_UP,IN_UP,IN_UP,2023-04-19,2023-05-16,2023-07-23,2023-07-23,19 Apr 2023,16 May 2023,23 Jul 2023,23 Jul 2023,3,3
IN_UP,IN_UP,OUT_UP,2023-05-16,2023-07-23,2023-08-08,2023-08-23,16 May 2023,23 Jul 2023,08 Aug 2023,23 Aug 2023,0,3
IN_UP,OUT_UP,IN_UP,2023-07-23,2023-08-08,2023-08-13,2023-08-23,23 Jul 2023,08 Aug 2023,13 Aug 2023,23 Aug 2023,1,3
OUT_UP,IN_UP,IN_UP,2023-08-08,2023-08-13,2023-08-21,2023-08-23,08 Aug 2023,13 Aug 2023,21 Aug 2023,23 Aug 2023,2,3
IN_UP,IN_UP,IN_UP,2023-08-13,2023-08-21,2023-08-23,2023-08-23,13 Aug 2023,21 Aug 2023,23 Aug 2023,23 Aug 2023,3,3
IN_UP,IN_UP,OUT_DOWN,2023-08-21,2023-08-23,2023-09-13,2025-01-27,21 Aug 2023,23 Aug 2023,13 Sep 2023,27 Jan 2025,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2023-09-13,2023-11-21,2023-12-20,2025-01-27,13 Sep 2023,21 Nov 2023,20 Dec 2023,27 Jan 2025,2,3
IN_UP,IN_UP,IN_DOWN,2024-05-22,2024-06-30,2024-07-28,2025-01-27,22 May 2024,30 Jun 2024,28 Jul 2024,27 Jan 2025,0,3
IN_UP,IN_DOWN,IN_DOWN,2024-06-30,2024-07-28,2024-09-24,2025-01-27,30 Jun 2024,28 Jul 2024,24 Sep 2024,27 Jan 2025,1,3
IN_DOWN,IN_DOWN,IN_DOWN,2024-07-28,2024-09-24,2024-10-16,2025-01-27,28 Jul 2024,24 Sep 2024,16 Oct 2024,27 Jan 2025,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2024-09-24,2024-10-16,2025-01-27,2025-01-27,24 Sep 2024,16 Oct 2024,27 Jan 2025,27 Jan 2025,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2024-10-16,2025-01-27,2025-03-02,2025-06-24,16 Oct 2024,27 Jan 2025,02 Mar 2025,24 Jun 2025,0,3
IN_DOWN,OUT_DOWN,IN_DOWN,2025-01-27,2025-03-02,2025-03-25,2025-06-24,27 Jan 2025,02 Mar 2025,25 Mar 2025,24 Jun 2025,1,3
OUT_DOWN,IN_DOWN,IN_DOWN,2025-03-02,2025-03-25,2025-04-17,2025-06-24,02 Mar 2025,25 Mar 2025,17 Apr 2025,24 Jun 2025,0,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-03-25,2025-04-17,2025-05-18,2025-06-24,25 Mar 2025,17 Apr 2025,18 May 2025,24 Jun 2025,1,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-04-17,2025-05-18,2025-05-28,2025-06-24,17 Apr 2025,18 May 2025,28 May 2025,24 Jun 2025,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-05-18,2025-05-28,2025-06-24,2025-06-24,18 May 2025,28 May 2025,24 Jun 2025,24 Jun 2025,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2025-05-28,2025-06-24,2025-11-27,2025-12-22,28 May 2025,24 Jun 2025,27 Nov 2025,22 Dec 2025,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2025-11-27,2025-12-11,2025-12-15,2025-12-22,27 Nov 2025,11 Dec 2025,15 Dec 2025,22 Dec 2025,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-12-11,2025-12-15,2025-12-22,2025-12-22,11 Dec 2025,15 Dec 2025,22 Dec 2025,22 Dec 2025,3,3
